cups	∪︀	\cup
b.rhov	𝛠	\not_defined
loplus	⨭	\not_defined
notinvb	⋷	\not_defined
boxplus	⊞	\boxplus
DoubleLongLeftRightArrow	⟺	\Longleftrightarrow
szlig	ß	\ssharp
xoplus	⨁	\bigoplus
ensp	 	\enspace
upharpoonleft	↿	\upharpoonleft
rarrc	⤳	\not_defined
simplus	⨤	\not_defined
angmsdac	⦪	\not_defined
b.sigma	𝛔	\not_defined
apE	⩰	\not_defined
b.tau	𝛕	\not_defined
ClockwiseContourIntegral	∲	\ointclockwise
THgr	Θ	\greekTheta
b.Omega	𝛀	\not_defined
nbsp	 	\nobreakspace
rBarr	⤏	\not_defined
YUcy	Ю	\cyrillicYU
excl	!	\not_defined
doteq	≐	\not_defined
GreaterLess	≷	\gtrless
PHgr	Φ	\greekPhi
OHgr	Ω	\greekOmega
triangleright	▹	\not_defined
KHgr	Χ	\greekChi
NotExists	∄	\nexists
lne	⪇	\lneq
prnE	⪵	\precneqq
b.omega	𝛚	\not_defined
eqsim	≂	\eqsim
bne	=⃥	\eq
prE	⪳	\preceqq
gne	⪈	\rneq
Vdash	⊩	\Vdash
plusmn	±	\textpm
nexist	∄	\nexists
subsim	⫇	\not_defined
ruluhar	⥨	\not_defined
subsup	⫓	\not_defined
succneqq	⪶	\succneqq
nsubseteq	⊈	\nsubseteq
leftarrow	←	\leftarrow
nges	⩾̸	\geqslant
TScy	Ц	\cyrillicC
NotLeftTriangleEqual	⋬	\ntrianglelefteq
lowast	∗	\ast
Mellintrf	ℳ	\not_defined
gneqq	≩	\gneqq
InvisibleTimes	⁢	\not_defined
fpartint	⨍	\not_defined
rang	⟩	\rangle
plusdo	∔	\dotplus
lneqq	≨	\lneqq
nang	∠⃒	\angle
lang	⟨	\langle
NotLessGreater	≸	\nlessgtr
ngeqslant	⩾̸	\geqslant
Leftarrow	⇐	\Leftarrow
DoubleLongRightArrow	⟹	\Longrightarrow
gtreqqless	⪌	\gtreqqless
npre	⪯̸	\preceq
Rang	⟫	\rrangle
dbkarow	⤏	\not_defined
DScy	Ѕ	\cyrillicDZE
Lang	⟪	\llangle
boxVl	╢	\not_defined
emsp	 	\emspace
infin	∞	\infty
leqq	≦	\leqq
cent	¢	\textcent
PlusMinus	±	\textpm
nleqq	≦̸	\leqq
dotplus	∔	\dotplus
PrecedesSlantEqual	≼	\preccurlyeq
gtrsim	≳	\gtrsim
lesges	⪓	\not_defined
lvnE	≨︀	\lneqq
